GameName,UCT,Alpha-Beta Search,PN-MCTS,BRS+,
Double-Move Situ,0.8,0.5,0.5,-1.0,
Unfair,1.0,1.0,0.9,-1.0,
Bosh,0.2,0.0,0.0,-1.0,
Tic-Tac-Toe,0.0,0.0,0.0,-1.0,
Amazons,0.4,0.6,0.1,-1.0,
Awari,0.3,0.4,0.6,-1.0,
Lines of Action,0.5,1.0,0.6,-1.0,
Breakthrough,0.3,0.9,0.5,-1.0,
2048,0.0,-1.0,-1.0,-1.0,
Resolve,0.5,0.4,0.4,-1.0,
Crossline,0.2,0.1,0.4,-1.0,
Hex,0.3,0.0,0.8,-1.0,
Nchayo,0.3,0.5,0.4,-1.0,
FairKalah,0.3,0.9,0.7,-1.0,
Watershed,0.5,0.4,0.1,-1.0,
Unlur,0.0,0.9,1.0,-1.0,
Millieu,0.4,0.0,0.6,-1.0,
Signum,0.5,0.0,0.9,-1.0,
Pereauni,1.0,1.0,1.0,-1.0,
Kpo,0.3,0.6,0.5,-1.0,
ConHex,0.3,0.1,0.7,-1.0,
Duene,0.0,0.0,0.0,-1.0,
Cross,0.6,0.1,0.4,-1.0,
Mweiso,1.0,1.0,1.0,-1.0,
Lobudok,0.6,1.0,0.3,-1.0,
Chuka,1.0,-1.0,-1.0,-1.0,
Hermit,0.4,0.0,0.8,-1.0,
Connect6,0.5,1.0,1.0,-1.0,
Go,0.2,0.5,0.5,-1.0,
Tablut,0.3,0.8,0.4,-1.0,
Komikan,0.0,0.0,0.0,-1.0,
Senet,0.4,0.3,-1.0,-1.0,
Mewelad,0.5,0.6,0.9,-1.0,
Rithmomachia,0.0,0.0,0.2,-1.0,
Katra,0.0,0.0,0.0,-1.0,
Saturankam,0.5,0.1,-1.0,-1.0,
Qelat,0.1,0.2,-1.0,-1.0,
Mangola,0.5,0.8,0.5,-1.0,
Kisolo,0.5,0.0,0.0,-1.0,
Jacquet,0.5,0.4,-1.0,-1.0,
Galatjang,0.0,1.0,0.0,-1.0,
Halma,0.0,0.0,0.0,-1.0,
Lontu-Holo,0.4,0.4,0.2,-1.0,
Msuwa,0.4,1.0,0.6,-1.0,
Halusa,0.6,0.0,0.4,-1.0,
Picaria,0.5,0.2,0.0,-1.0,
Baqura,0.7,0.5,0.0,-1.0,
Awari,0.1,0.7,0.5,-1.0,
Senet,0.5,0.5,-1.0,-1.0,
Felli,0.5,0.3,0.5,-1.0,
Bolotudu,0.7,0.2,0.3,-1.0,
Ashtapada,0.5,0.0,-1.0,-1.0,
Jekab,0.5,0.6,0.0,-1.0,
Ko-app-paw-na,0.0,0.3,0.0,-1.0,
Pasang,0.4,0.4,1.0,-1.0,
Ashta-kashte,0.6,0.4,-1.0,-1.0,
Garanguet,0.2,0.3,-1.0,-1.0,
Crand,0.1,0.3,0.0,-1.0,
Oware,0.3,1.0,0.4,-1.0,
Had,0.3,0.0,-1.0,-1.0,
Baghchal,0.0,0.0,0.1,-1.0,
Santaraj,0.6,0.8,0.2,-1.0,
Tsaydithl,0.6,0.4,-1.0,-1.0,
Pasit,0.3,0.0,-1.0,-1.0,
Nebakuthana,0.5,0.2,-1.0,-1.0,
Chaturaji,0.4,0.9,-1.0,-1.0,
Chandaraki,0.4,1.0,0.5,-1.0,
Pylos,0.4,0.3,0.4,-1.0,
Inkblots,0.7,0.6,-1.0,-1.0,
Hoshi,0.0,-1.0,-1.0,-1.0,
Ratio,0.0,0.0,0.0,-1.0,
Janggi,0.4,0.9,0.3,-1.0,
Nim,0.5,1.0,0.9,-1.0,
