,Cluster,RulesetId,Name
851,0,1625,Tank Tactics
723,0,156,Terhuchu
382,0,1731,Astralesce and Constellation
605,0,1517,Tama
1044,0,1036,Bajr
845,0,1807,Lewthwaite's Game
295,0,1797,Archimedes
1069,0,1993,King And Courtesan
599,0,1353,Ngrin
187,0,407,Snowpaque
290,0,1814,Troll
531,0,789,Shah
738,0,466,Chameleon
325,0,620,DisPath
705,0,999,Broken Line
179,0,1508,Wari (Alignment)
242,0,615,Icosian
783,0,405,Tawlbwrdd
642,0,150,Seega
230,0,1419,Six Insect Game
764,0,865,Hex Amazons
454,0,1096,Mao Naga Tiger Game
477,0,1024,Xonin Shatar (Simple)
639,0,792,Djara-Badakh
265,0,1929,Co Chan Cho
154,0,1158,Fibonacci Nim
415,0,1970,Wrigglers Squared
635,0,1549,Windflowers
260,0,401,Gol Ekuish
304,0,1547,Rolit
878,0,898,Bagh Bandi
208,0,717,Tugul Shodra
410,0,1548,Brain Coral
698,0,132,Contagion
861,0,443,HexDame
370,0,1073,Janes Soppi (Symmetrical)
816,0,1318,Level Chess
452,0,1082,Hund efter Hare (Thy)
938,0,445,Manalath
124,0,947,Six-Penny Madell
950,1,314,Los Escaques
5,2,1451,Cittabhramanrpasya Khelanam
466,2,454,Manzhouqi
342,2,793,Kyoto Shogi
493,2,1035,Jeson Mor
990,2,1622,MiniXiangqi
727,2,1436,Shatranj (Turkey)
33,2,1619,Unachess
110,2,1781,Atomic Chess
32,3,288,Kay
91,3,27,Dabuda
970,3,242,Leyla Gobale (Somaliland)
905,3,1315,Chiana wa Bwalo
673,3,275,Katra Boaoaka
1075,3,661,Gabata (Ghinda)
1004,3,219,Daramuti
406,3,256,Chisolo
868,3,277,Mangola
85,3,433,Motiq
458,3,438,Bay Khom
740,3,1056,Mankala
432,3,234,The Concentration Game
411,3,426,Kapana Bona
741,4,769,Had
1073,4,1168,Issiren
699,4,330,Kolica Atarakua
24,4,202,Tsun K'i
584,4,820,Dubblets
470,4,767,Deleb
909,4,757,Sahkku
233,4,33,XII Scripta
229,4,653,Pagade Kayi Ata (Sixteen-handed)
336,4,728,Seys Dos y As
